,Defect,Charge,Formation Energy (eV),Concentration (cm^-3),Charge State Population,Total Concentration (cm^-3),Fermi Level,Electrons (cm^-3),Holes (cm^-3),Annealing Temperature,Quenched Temperature
27,v_Te,-1,2.922,7.350769856965973e-24,0.0%,52386.76371444434,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
28,v_Te,-2,3.614,8.7935733616949e-36,0.0%,52386.76371444434,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
0,Cd_Te,2,1.705,0.07682928733846286,100.0%,0.07685161907592557,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
1,Cd_Te,1,1.979,2.2331732662806655e-05,0.0%,0.07685161907592557,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
2,Cd_Te,0,2.376,4.7999003796886305e-12,0.0%,0.07685161907592557,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
3,Cd_Te,-1,3.44,1.0750254827998057e-30,0.0%,0.07685161907592557,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
4,Cd_Te,-2,4.536,5.0400958811872186e-48,0.0%,0.07685161907592557,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
5,Cd_i_Td_Cd2.83,2,1.535,17.232699741150125,81.7%,21.10509099738823,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
6,Cd_i_Td_Cd2.83,1,1.592,3.8723912555943736,18.3%,21.10509099738823,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
7,Cd_i_Td_Cd2.83,0,2.156,6.437332734107702e-10,0.0%,21.10509099738823,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
8,Cd_i_Td_Te2.83,2,1.052,105457777.59206745,100.0%,105457777.63049999,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
9,Cd_i_Td_Te2.83,1,1.632,0.03843253274493755,0.0%,105457777.63049999,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
10,Cd_i_Td_Te2.83,0,2.471,1.5276496245957621e-16,0.0%,105457777.63049999,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
11,Te_Cd,2,5.226,2.8462168855948417e-55,0.0%,1.9657140898298077e-33,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
12,Te_Cd,1,4.473,1.03271150743131e-41,0.0%,1.9657140898298077e-33,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
13,Te_Cd,0,3.962,1.965714079498155e-33,100.0%,1.9657140898298077e-33,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
14,Te_Cd,-1,4.701,4.537571945421404e-45,0.0%,1.9657140898298077e-33,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
15,Te_Cd,-2,5.373,1.1622277384497141e-56,0.0%,1.9657140898298077e-33,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
16,Te_i_Td_Te2.83,2,4.39,1.46375244238437e-42,0.0%,7.092665967669975e-21,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
17,Te_i_Td_Te2.83,1,3.637,6.477016253751779e-30,0.0%,7.092665967669975e-21,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
18,Te_i_Td_Te2.83,0,3.099,7.09266596119296e-21,100.0%,7.092665967669975e-21,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
19,Te_i_Td_Te2.83,-1,4.925,2.998456889032091e-51,0.0%,7.092665967669975e-21,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
20,Te_i_Td_Te2.83,-2,7.273,5.333920691336382e-91,0.0%,7.092665967669975e-21,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
21,v_Cd,0,3.15,2.8951978414917167e-24,0.0%,2.306339546990792e-14,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
22,v_Cd,-1,2.905,5.0587206323073503e-20,0.0%,2.306339546990792e-14,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
23,v_Cd,-2,2.514,2.30633448798064e-14,100.0%,2.306339546990792e-14,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
24,v_Te,2,1.22,464565.3253552745,100.0%,464565.326210003,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
25,v_Te,1,2.122,6.72733132172516e-10,0.0%,464565.326210003,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
26,v_Te,0,1.787,0.0008547278876385773,0.0%,464565.326210003,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
27,v_Te,-1,2.903,6.092697033427612e-22,0.0%,464565.326210003,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
28,v_Te,-2,3.575,1.5352979145744025e-33,0.0%,464565.326210003,0.7877366156268373,253359593.2553644,41514868.89061796,360.0,300.0
0,Cd_Te,2,1.782,1.2253469667595018,99.9%,1.2269323794580895,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
1,Cd_Te,1,2.018,0.0015854111817505787,0.1%,1.2269323794580895,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
2,Cd_Te,0,2.376,1.5168370982193004e-09,0.0%,1.2269323794580895,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
3,Cd_Te,-1,3.402,1.5122120643972359e-27,0.0%,1.2269323794580895,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
4,Cd_Te,-2,4.459,3.1558762078632027e-44,0.0%,1.2269323794580895,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
